num_task, cpu-allocated, resolution, time-elapsed, task-clock(ms) ,context-switches ,cpu-migrations ,page-faults ,avg-fps ,avg-q ,avg-bitrate(kbits/s) ,avg-process-CPU(%) ,avg-process-Memory(MB) ,avg-system-CPU(%) ,avg-system-Memory(%)
32,10,480,122.09,36895.73,122485.38,6091.44,31314.69,29.27,23.79,0.00,30.46,228.93,96.76,87.21
32,10,480,121.44,36381.11,120744.38,5752.34,25087.53,29.30,23.79,0.00,30.42,228.58,96.86,87.01
33,10,480,123.79,36851.62,115839.21,5486.27,27379.09,28.41,23.77,0.00,30.00,227.83,98.00,89.78
33,10,480,124.06,36905.29,115872.67,5490.76,36992.33,28.21,23.77,0.00,29.95,227.70,97.93,89.58
33,10,480,122.70,36425.93,115549.52,5579.64,33917.33,28.37,23.79,0.00,29.89,228.92,97.89,89.62
33,10,480,123.03,36496.42,116579.09,5448.36,34548.61,28.54,23.80,0.00,29.85,228.17,97.75,89.56
33,10,480,122.01,36053.91,118147.61,5435.91,31308.09,28.88,23.78,0.00,29.76,228.68,97.66,89.68
34,10,480,3.69,1034.18,3382.53,160.97,495.00,27.27,23.79,0.00,29.21,211.06,98.10,91.93
34,10,480,55.10,15845.84,50868.32,2323.32,15842.35,27.76,23.80,0.00,29.20,220.29,98.06,91.87
34,10,480,22.03,6386.64,20315.18,914.82,5877.56,27.70,23.78,0.00,29.15,223.47,98.07,91.87
34,10,480,32.95,9457.96,30459.35,1389.62,10315.71,27.66,23.80,0.00,29.09,218.40,98.02,91.81
