num_task,cpu-allocated,resolution,time-elapsed,task-clock(ms),context-switches,cpu-migrations,page-faults,avg-fps,avg-q,avg-bitrate(kbits/s),avg-process-CPU(%),avg-process-Memory(MB),avg-system-CPU(%),avg-system-Memory(%)
36,10,480,127.48,35084.07,114832.31,5040.69,33510.69,27.17,23.80,0.00,27.61,204.56,98.38,94.76
37,10,480,131.25,35105.74,116114.68,4918.05,31370.35,26.99,23.81,0.00,26.86,201.10,98.43,97.45
37,10,480,133.41,35674.89,115834.32,4999.68,31027.24,26.29,23.81,0.00,26.86,200.35,98.38,97.33
37,10,480,134.18,35945.84,115879.43,4893.16,30721.08,26.52,23.84,0.00,26.91,200.23,98.41,97.12
38,10,480,193.63,45531.69,144274.21,5228.50,78375.03,22.00,23.85,0.00,26.58,197.77,98.30,98.32
38,10,480,226.05,49358.80,158007.42,7266.18,106815.79,19.69,23.87,0.00,26.83,197.86,97.80,98.13
38,10,480,190.95,44831.74,144685.87,5183.97,81195.18,21.75,23.85,0.00,26.90,197.53,98.17,98.48
39,10,480,208.22,46602.74,145444.95,6402.82,83205.72,16.27,23.83,0.00,27.59,195.71,98.06,98.46
39,10,480,205.77,44807.01,146710.05,7429.38,88504.23,15.62,23.82,0.00,27.55,196.07,97.76,98.33
39,10,480,224.28,46180.09,164452.08,8235.85,121374.36,16.74,23.86,0.00,28.21,194.88,97.49,98.51
40,10,480,281.03,51860.77,185630.00,11149.77,158798.23,12.68,23.71,0.00,29.87,194.30,95.96,98.18
22,10,720,132.62,59993.90,113837.41,3643.82,44242.91,27.35,23.86,0.00,45.28,329.52,98.58,90.80
22,10,720,126.05,56793.08,113459.95,3727.59,38734.55,27.63,23.86,0.00,45.15,326.11,98.48,90.70
22,10,720,133.39,60328.02,113624.77,3560.73,41840.64,26.40,23.88,0.00,45.36,328.67,98.65,90.29
23,10,720,136.29,59121.81,113992.87,3524.39,36102.13,25.50,23.90,0.00,43.45,310.82,98.69,93.66
23,10,720,132.87,57332.36,114126.61,3594.09,39848.13,25.90,23.89,0.00,43.27,316.88,98.65,93.95
23,10,720,137.44,59266.72,114399.00,3577.52,42321.96,25.69,23.89,0.00,43.25,314.63,98.72,94.40
24,10,720,143.84,59644.16,115619.62,3410.08,42033.04,24.73,23.89,0.00,41.54,302.02,98.74,97.67
24,10,720,142.46,59096.19,115164.92,3495.79,40000.12,24.61,23.88,0.00,41.50,301.73,98.73,97.70
24,10,720,142.54,59000.85,115121.33,3475.38,40707.21,24.73,23.88,0.00,41.54,301.10,98.80,97.57
25,10,720,189.42,64874.09,146045.60,7081.04,87257.24,15.32,23.91,0.00,41.44,296.87,98.23,97.91
25,10,720,175.86,62812.05,139931.44,6120.76,82239.72,17.39,23.90,0.00,41.75,296.11,98.27,97.89
25,10,720,235.13,69404.38,183390.92,8185.08,145005.64,12.18,23.96,0.00,42.51,296.94,98.09,97.93
26,10,720,189.76,61782.88,151036.42,6329.04,101593.62,13.58,23.62,0.00,41.71,293.55,96.40,97.21
26,10,720,224.99,66104.21,165923.77,9702.92,120654.69,13.65,23.60,0.00,41.36,293.39,96.74,97.35
26,10,720,166.16,58304.69,135087.50,4969.19,81996.69,17.59,23.62,0.00,41.19,292.25,96.89,97.26
27,10,720,231.18,66146.34,172375.26,8745.37,135213.93,11.58,23.37,0.00,40.81,291.91,94.97,97.28
27,10,720,260.97,68061.87,191639.30,11974.85,160863.52,10.04,23.26,0.00,40.91,289.17,93.59,96.29
27,10,720,207.02,61866.60,157109.81,8864.56,115340.33,12.25,23.16,0.00,41.25,291.70,95.10,96.96
28,10,720,217.67,61454.94,160205.96,8466.96,120627.21,11.37,22.94,0.00,40.56,289.27,91.81,96.58
28,10,720,198.85,60514.65,147955.04,9117.43,101510.61,14.62,23.05,0.00,41.28,288.86,93.28,95.81
28,10,720,188.81,59239.24,147681.29,6363.00,110687.46,13.28,23.12,0.00,40.11,288.56,92.25,96.26
